"nosesniff1" "bodysniff1" "agsniff1" "pawing1" "passwalk1" "passnotwalk1" "inactive1" "rear1" "autogroom1" "bigdig1" "littledig1" "circle1" "na1" "allactive1" "allpassive1" "allsoc1" "nosesniff2" "bodysniff2" "agsniff2" "pawing2" "passwalk2" "passnotwalk2" "inactive2" "rear2" "autogroom2" "bigdig2" "littledig2" "circle2" "na2" "allactive2" "allpassive2" "allsoc2" "nosesniff3" "bodysniff3" "agsniff3" "pawing3" "passwalk3" "passnotwalk3" "inactive3" "rear3" "autogroom3" "bigdig3" "littledig3" "circle3" "na3" "allactive3" "allpassive3" "allsoc3"
"1" 1 3 1 0 2 2 0 8 2 2 0 0 14 5 4 8 1 3 1 0 1 4 0 8 2 2 0 0 13 4 4 8 1 3 1 0 1 4 0 8 3 4 0 0 10 4 5 9
"2" 1 3 0 1 1 3 0 5 2 2 0 0 16 4 5 9 1 3 0 0 1 4 0 6 2 2 0 0 16 4 4 8 1 5 0 0 1 3 0 7 2 2 0 0 16 6 4 9
"3" 5 4 1 0 1 6 0 7 3 1 0 0 10 10 7 17 5 6 0 0 1 7 0 7 3 1 0 0 9 10 8 18 5 6 1 0 1 7 0 9 3 1 0 0 7 11 8 20
"4" 5 4 0 0 2 7 0 10 2 3 0 0 7 9 9 17 5 3 0 0 3 7 0 11 2 3 0 0 5 8 10 18 5 4 0 0 4 7 0 12 4 3 0 0 5 9 11 20
"5" 1 3 2 0 2 4 0 10 6 2 0 0 7 5 6 11 1 4 0 0 2 5 0 10 7 2 0 0 7 4 7 11 1 4 0 0 2 4 0 12 7 2 0 0 5 5 6 11
"6" 1 1 0 2 2 6 0 7 5 2 0 0 11 2 9 11 1 3 0 0 2 6 0 9 7 3 0 0 7 4 7 11 1 2 0 2 2 5 0 11 7 3 0 0 6 3 8 11
"7" 1 6 0 0 2 5 0 7 1 3 0 0 10 7 7 14 1 6 0 0 2 7 0 7 1 7 0 0 4 6 8 14 0 6 0 0 2 6 0 7 2 3 0 0 9 6 8 14
"8" 1 4 1 0 2 7 1 5 2 3 0 0 13 5 9 14 1 4 0 0 1 9 0 4 3 5 0 0 10 5 10 14 0 5 0 0 1 8 1 4 3 3 0 0 12 5 9 14
"9" 2 3 1 1 0 6 1 3 1 5 0 0 17 5 6 11 1 3 1 1 0 6 0 3 1 6 0 0 14 4 7 11 1 3 1 1 0 5 0 3 1 6 0 0 15 5 6 11
"10" 2 3 0 1 3 4 0 3 3 5 0 0 12 4 7 11 1 3 0 1 3 4 0 3 1 4 0 0 14 4 8 11 1 4 0 0 3 3 0 3 1 6 0 0 13 5 6 11
"11" 1 2 0 0 5 4 0 11 2 2 0 0 12 3 9 12 1 2 0 0 3 6 0 11 1 3 0 0 10 3 9 12 1 2 0 0 4 5 0 11 2 3 0 0 10 3 9 12
"12" 1 5 1 0 2 4 0 15 1 1 0 0 7 7 5 12 1 5 1 0 2 4 0 14 1 2 0 0 7 6 6 12 1 5 1 0 2 4 0 15 1 2 0 0 7 6 6 12
"13" 1 1 0 0 2 2 0 8 1 2 0 0 17 2 3 5 1 0 0 0 1 3 0 8 1 3 0 0 16 1 4 5 2 0 0 0 2 2 0 8 1 2 0 0 16 2 4 5
"14" 1 1 0 1 2 1 0 21 2 2 0 0 5 2 3 5 1 2 0 1 1 1 0 22 2 2 0 0 4 3 3 5 2 1 1 1 1 1 0 21 2 2 0 0 4 3 2 5
"15" 2 2 0 2 1 6 0 9 2 5 0 0 11 4 9 12 2 3 0 1 2 5 0 7 3 6 0 0 11 5 8 12 2 2 0 2 2 5 0 6 3 6 0 0 11 4 9 12
"16" 2 2 1 0 2 5 0 6 6 2 0 0 10 5 7 12 2 4 0 0 1 6 0 7 7 2 0 0 8 6 7 12 2 4 0 0 1 5 0 7 6 3 0 0 9 6 6 12
"17" 1 3 0 1 1 6 0 10 5 1 0 0 8 4 7 10 1 2 0 1 0 7 0 9 4 1 0 0 10 3 8 10 1 3 0 1 0 6 0 10 4 1 0 0 8 4 7 11
"18" 1 3 1 0 3 3 0 8 2 2 0 0 12 5 6 10 1 4 1 0 2 3 0 7 1 2 0 0 12 5 5 10 1 4 1 0 2 4 0 7 2 2 0 0 11 5 6 11
"19" 1 2 0 0 1 2 0 13 2 2 0 0 12 3 3 5 1 2 0 0 1 2 0 11 1 3 0 0 13 3 3 6 1 2 0 0 1 2 0 11 1 3 0 0 14 3 3 5
"20" 1 2 0 1 1 2 0 11 1 6 0 0 13 3 3 5 1 2 0 1 1 2 0 9 1 7 0 0 13 3 3 6 1 2 0 1 0 2 0 11 1 8 0 0 11 3 3 5
